"Time","RPM","Torque","Horsepower"
0.0,0.0,0.3681343105396226,0.0
0.101,0.0,0.3681343105396226,0.0
0.127,0.0,0.3681343105396226,0.0
0.14,0.0,0.3681343105396226,0.0
0.152,0.0,0.3681343105396226,0.0
0.165,0.0,0.3681343105396226,0.0
0.179,0.0,0.3681343105396226,0.0
0.192,0.0,0.3681343105396226,0.0
0.203,0.0,0.3681343105396226,0.0
0.216,0.0,0.3681343105396226,0.0
0.227,0.0,0.3681343105396226,0.0
0.238,0.0,0.3681343105396226,0.0
0.25,0.0,0.3681343105396226,0.0
0.264,0.0,0.3681343105396226,0.0
0.279,0.0,0.3681343105396226,0.0
0.291,0.0,0.3681343105396226,0.0
0.307,0.0,0.3681343105396226,0.0
0.319,0.0,0.3674550771865301,0.0
0.338,0.0,0.3674550771865301,0.0
0.349,0.0,0.3674550771865301,0.0
0.361,0.0,0.3674550771865301,0.0
0.374,0.0,0.3674550771865301,0.0
0.387,0.0,0.3674550771865301,0.0
0.405,0.0,0.3674550771865301,0.0
0.417,0.0,0.3674550771865301,0.0
0.432,0.0,0.3674550771865301,0.0
0.446,0.0,0.3674550771865301,0.0
0.462,0.0,0.3674550771865301,0.0
0.476,0.0,0.3674550771865301,0.0
0.49,0.0,0.3674550771865301,0.0
0.504,0.0,0.3674550771865301,0.0
0.515,0.0,0.3674550771865301,0.0
0.527,0.0,0.3674550771865301,0.0
0.541,0.0,0.3674550771865301,0.0
0.552,0.0,0.3674550771865301,0.0
0.563,0.0,0.3674550771865301,0.0
0.576,0.0,0.3674550771865301,0.0
0.589,0.0,0.3674550771865301,0.0
0.601,0.0,0.3674550771865301,0.0
0.616,0.0,0.3674550771865301,0.0
0.628,0.0,0.3674550771865301,0.0
0.64,0.0,0.3674550771865301,0.0
0.65,0.0,0.3674550771865301,0.0
0.662,0.0,0.3674550771865301,0.0
0.674,0.0,0.3674550771865301,0.0
0.688,0.0,0.3674550771865301,0.0
0.7,0.0,0.3674550771865301,0.0
0.712,0.0,0.3674550771865301,0.0
0.723,0.0,0.3674550771865301,0.0
0.735,0.0,0.3674550771865301,0.0
0.745,0.0,0.3674550771865301,0.0
0.76,0.0,0.3674550771865301,0.0
0.779,0.0,0.3674550771865301,0.0
0.796,0.0,0.3674550771865301,0.0
0.81,0.0,0.3674550771865301,0.0
0.821,0.0,0.36750732590599994,0.0
0.833,0.0,0.36750732590599994,0.0
0.845,0.0,0.36750732590599994,0.0
0.857,0.0,0.36750732590599994,0.0
0.868,0.0,0.36750732590599994,0.0
0.88,0.0,0.36750732590599994,0.0
0.894,0.0,0.36750732590599994,0.0
0.914,0.0,0.36750732590599994,0.0
0.926,0.0,0.36750732590599994,0.0
0.938,0.0,0.36750732590599994,0.0
0.949,0.0,0.36750732590599994,0.0
0.96,0.0,0.36750732590599994,0.0
0.973,0.0,0.36750732590599994,0.0
0.988,0.0,0.36750732590599994,0.0
0.999,0.0,0.36750732590599994,0.0
1.021,0.0,0.36750732590599994,0.0
1.035,0.0,0.36750732590599994,0.0
1.05,0.0,0.36750732590599994,0.0
1.063,0.0,0.36750732590599994,0.0
1.081,0.0,0.36750732590599994,0.0
1.096,0.0,0.36750732590599994,0.0
1.111,0.0,0.36750732590599994,0.0
1.123,0.0,0.36750732590599994,0.0
1.136,0.0,0.36750732590599994,0.0
1.147,0.0,0.36750732590599994,0.0
1.16,0.0,0.36750732590599994,0.0
1.177,0.0,0.36750732590599994,0.0
1.193,0.0,0.36750732590599994,0.0
1.206,0.0,0.36750732590599994,0.0
1.218,0.0,0.36750732590599994,0.0
1.23,0.0,0.36750732590599994,0.0
1.241,0.0,0.36750732590599994,0.0
1.253,0.0,0.36750732590599994,0.0
1.264,0.0,0.36750732590599994,0.0
1.277,0.0,0.36750732590599994,0.0
1.289,0.0,0.36750732590599994,0.0
1.301,0.0,0.36750732590599994,0.0
1.314,0.0,0.36750732590599994,0.0
1.326,0.0,0.36836072165732076,0.0
1.337,0.0,0.36836072165732076,0.0
1.349,0.0,0.36836072165732076,0.0
1.362,0.0,0.36836072165732076,0.0
1.372,0.0,0.36836072165732076,0.0
1.383,0.0,0.36836072165732076,0.0
1.394,0.0,0.36836072165732076,0.0
1.406,0.0,0.36836072165732076,0.0
1.417,0.0,0.36836072165732076,0.0
1.428,0.0,0.36836072165732076,0.0
1.439,0.0,0.36836072165732076,0.0
1.455,0.0,0.36836072165732076,0.0
1.467,0.0,0.36836072165732076,0.0
1.48,0.0,0.36836072165732076,0.0
1.492,0.0,0.36836072165732076,0.0
1.505,0.0,0.36836072165732076,0.0
1.52,0.0,0.36836072165732076,0.0
1.534,0.0,0.36836072165732076,0.0
1.545,0.0,0.36836072165732076,0.0
1.558,0.0,0.36836072165732076,0.0
1.572,0.0,0.36836072165732076,0.0
1.587,0.0,0.36836072165732076,0.0
1.6,0.0,0.36836072165732076,0.0
1.614,0.0,0.36836072165732076,0.0
1.629,0.0,0.36836072165732076,0.0
1.64,0.0,0.36836072165732076,0.0
1.653,0.0,0.36836072165732076,0.0
1.668,0.0,0.36836072165732076,0.0
1.682,0.0,0.36836072165732076,0.0
1.695,0.0,0.36836072165732076,0.0
1.711,0.0,0.36836072165732076,0.0
1.725,0.0,0.36836072165732076,0.0
1.742,0.0,0.36836072165732076,0.0
1.757,0.0,0.36836072165732076,0.0
1.773,0.0,0.36836072165732076,0.0
1.787,0.0,0.36836072165732076,0.0
1.803,0.0,0.36836072165732076,0.0
1.818,0.0,0.3672983310281244,0.0
1.83,0.0,0.3672983310281244,0.0
1.841,0.0,0.3672983310281244,0.0
1.852,0.0,0.3672983310281244,0.0
1.864,0.0,0.3672983310281244,0.0
1.876,0.0,0.3672983310281244,0.0
1.888,0.0,0.3672983310281244,0.0
1.9,0.0,0.3672983310281244,0.0
1.913,0.0,0.3672983310281244,0.0
1.925,0.0,0.3672983310281244,0.0
1.936,0.0,0.3672983310281244,0.0
1.947,0.0,0.3672983310281244,0.0
1.96,0.0,0.3672983310281244,0.0
1.971,0.0,0.3672983310281244,0.0
1.981,0.0,0.3672983310281244,0.0
1.992,0.0,0.3672983310281244,0.0
2.004,0.0,0.3672983310281244,0.0
2.016,0.0,0.3672983310281244,0.0
2.035,0.0,0.3672983310281244,0.0
2.051,0.0,0.3672983310281244,0.0
2.063,0.0,0.3672983310281244,0.0
2.077,0.0,0.3672983310281244,0.0
2.094,0.0,0.3672983310281244,0.0
2.114,0.0,0.3672983310281244,0.0
2.129,0.0,0.3672983310281244,0.0
2.141,0.0,0.3672983310281244,0.0
2.158,0.0,0.3672983310281244,0.0
2.169,0.0,0.3672983310281244,0.0
