Timestamp,Torque (Ft-LB),Voltage (mV)
2024-09-15 16:47:09.101726,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.117717,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.137705,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.157693,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.177684,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.197670,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.217659,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.237647,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.257636,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.277624,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.297613,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.317601,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.337590,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.357579,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.377568,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.397555,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.417544,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.437532,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.457520,-20.9094687479477,-0.12500000745058062
2024-09-15 16:47:09.477509,-20.9094687479477,-0.12500000745058062
