Timestamp,Torque (Ft-LB),Voltage (mV)
2024-09-13 19:48:23.998960,0.016396852291057584,0.3786236273422019
2024-09-13 19:48:24.108662,0.016396852291057584,0.3786236273422019
2024-09-13 19:48:24.220030,0.016396852291057584,0.3786236273422019
2024-09-13 19:48:24.328189,0.016396852291057584,0.3786236273422019
2024-09-13 19:48:24.428486,0.016396852291057584,0.3786236273422019
2024-09-13 19:48:24.532906,-0.0021831503049849488,0.3781765924797411
2024-09-13 19:48:24.643636,-0.0021831503049849488,0.3781765924797411
2024-09-13 19:48:24.754995,-0.0021831503049849488,0.3781765924797411
2024-09-13 19:48:24.862895,-0.0021831503049849488,0.3781765924797411
2024-09-13 19:48:24.973835,-0.0021831503049849488,0.3781765924797411
2024-09-13 19:48:25.526786,0.01020351809237674,0.37847461572138164
2024-09-13 19:48:26.171026,-0.0015638168851168643,0.37819149364182314
2024-09-13 19:48:26.282580,-0.0015638168851168643,0.37819149364182314
2024-09-13 19:48:26.394566,-0.0015638168851168643,0.37819149364182314
2024-09-13 19:48:26.505497,-0.0015638168851168643,0.37819149364182314
2024-09-13 19:48:26.616624,-0.0015638168851168643,0.37819149364182314
2024-09-13 19:48:26.726900,0.010822851512244824,0.37848951688346366
2024-09-13 19:48:26.838312,0.010822851512244824,0.37848951688346366
2024-09-13 19:48:26.947292,0.010822851512244824,0.37848951688346366
2024-09-13 19:48:27.057213,0.010822851512244824,0.37848951688346366
2024-09-13 19:48:27.169149,0.010822851512244824,0.37848951688346366
2024-09-13 19:48:27.722329,0.0040101838936958956,0.3783256041005614
2024-09-13 19:48:28.386154,0.009584184672508655,0.3784597145592996
2024-09-13 19:48:28.495641,0.009584184672508655,0.3784597145592996
2024-09-13 19:48:28.603438,0.009584184672508655,0.3784597145592996
2024-09-13 19:48:28.712156,0.009584184672508655,0.3784597145592996
2024-09-13 19:48:28.820222,0.009584184672508655,0.3784597145592996
2024-09-13 19:48:28.928011,0.005248850733432064,0.3783554064247254
2024-09-13 19:48:29.037366,0.005248850733432064,0.3783554064247254
2024-09-13 19:48:29.147661,0.005248850733432064,0.3783554064247254
2024-09-13 19:48:29.259593,0.005248850733432064,0.3783554064247254
2024-09-13 19:48:29.368556,0.005248850733432064,0.3783554064247254
2024-09-13 19:48:29.925951,-0.0034218171447211176,0.37814679015557706
2024-09-13 19:48:30.571060,0.006487517573168233,0.3783852087488895
2024-09-13 19:48:30.680760,0.006487517573168233,0.3783852087488895
2024-09-13 19:48:30.788838,0.006487517573168233,0.3783852087488895
2024-09-13 19:48:30.898190,0.006487517573168233,0.3783852087488895
2024-09-13 19:48:31.007346,0.006487517573168233,0.3783852087488895
2024-09-13 19:48:31.116330,0.0021521836340916423,0.3782809006143153
2024-09-13 19:48:31.224304,0.0021521836340916423,0.3782809006143153
2024-09-13 19:48:31.334089,0.0021521836340916423,0.3782809006143153
2024-09-13 19:48:31.445203,0.0021521836340916423,0.3782809006143153
2024-09-13 19:48:31.554625,0.0021521836340916423,0.3782809006143153
2024-09-13 19:48:32.112345,-0.8599599368222837,0.3575384829961349
2024-09-13 19:48:32.756161,-7.3127948384278625,0.2022832752635047
2024-09-13 19:48:32.857050,-7.3127948384278625,0.2022832752635047
2024-09-13 19:48:32.962184,-7.3127948384278625,0.2022832752635047
2024-09-13 19:48:33.070018,-7.3127948384278625,0.2022832752635047
2024-09-13 19:48:33.180087,-7.3127948384278625,0.2022832752635047
2024-09-13 19:48:33.288325,-4.408740432666409,0.27215482426612525
2024-09-13 19:48:33.397628,-4.408740432666409,0.27215482426612525
2024-09-13 19:48:33.505217,-4.408740432666409,0.27215482426612525
2024-09-13 19:48:33.612825,-4.408740432666409,0.27215482426612525
2024-09-13 19:48:33.723148,-4.408740432666409,0.27215482426612525
2024-09-13 19:48:34.300266,-5.260943218404895,0.25165082524125726
2024-09-13 19:48:34.969074,-0.9237512790686964,0.3560036633016862
2024-09-13 19:48:35.069189,-0.9237512790686964,0.3560036633016862
2024-09-13 19:48:35.170562,-0.9237512790686964,0.3560036633016862
2024-09-13 19:48:35.280082,-0.9237512790686964,0.3560036633016862
2024-09-13 19:48:35.389084,-0.9237512790686964,0.3560036633016862
2024-09-13 19:48:35.497702,-26.182645474968684,-0.2517253310516674
2024-09-13 19:48:35.607565,-26.182645474968684,-0.2517253310516674
2024-09-13 19:48:35.717362,-26.182645474968684,-0.2517253310516674
2024-09-13 19:48:35.826399,-26.182645474968684,-0.2517253310516674
2024-09-13 19:48:35.935239,-26.182645474968684,-0.2517253310516674
2024-09-13 19:48:36.516877,-68.01304398627903,-1.2581647192337944
2024-09-13 19:48:37.183861,-47.2920057577525,-0.7596165394554459
2024-09-13 19:48:37.292647,-47.2920057577525,-0.7596165394554459
2024-09-13 19:48:37.399795,-47.2920057577525,-0.7596165394554459
2024-09-13 19:48:37.510699,-47.2920057577525,-0.7596165394554459
2024-09-13 19:48:37.621795,-47.2920057577525,-0.7596165394554459
2024-09-13 19:48:37.732198,-59.62355348074595,-1.0563135776706682
2024-09-13 19:48:37.840950,-59.62355348074595,-1.0563135776706682
2024-09-13 19:48:37.941089,-59.62355348074595,-1.0563135776706682
2024-09-13 19:48:38.044269,-59.62355348074595,-1.0563135776706682
2024-09-13 19:48:38.153357,-59.62355348074595,-1.0563135776706682
2024-09-13 19:48:38.720108,-78.45438611183508,-1.5093834107746726
